id,name,css
"system","System UI","system-ui, -apple-system, Segoe UI, Roboto, Inter, sans-serif"
"abrade","Abrade","Abrade, system-ui, -apple-system, sans-serif"
"abradebook","Abrade Book","Abrade Book, system-ui, -apple-system, sans-serif"
"abradehairline","Abrade Hairline","Abrade Hairline, system-ui, -apple-system, sans-serif"
"abradeultra","Abrade Ultra","Abrade Ultra, system-ui, -apple-system, sans-serif"
"acrom","Acrom","Acrom, system-ui, -apple-system, sans-serif"
"adellecyr","Adelle CYR","Adelle CYR, system-ui, -apple-system, sans-serif"
"adellesanscyr","Adelle Sans CYR","Adelle Sans CYR, system-ui, -apple-system, sans-serif"
"adobeclean","Adobe Clean","Adobe Clean, system-ui, -apple-system, sans-serif"
"adobecleanboldit","Adobe Clean Bold It","Adobe Clean Bold It, system-ui, -apple-system, sans-serif"
"adobecleanboldsemicn","Adobe Clean Bold Semi Cn","Adobe Clean Bold Semi Cn, system-ui, -apple-system, sans-serif"
"adobecleanboldsemicnit","Adobe Clean Bold Semi Cn It","Adobe Clean Bold Semi Cn It, system-ui, -apple-system, sans-serif"
"adobecleanit","Adobe Clean It","Adobe Clean It, system-ui, -apple-system, sans-serif"
"adobecleansemicn","Adobe Clean Semi Cn","Adobe Clean Semi Cn, system-ui, -apple-system, sans-serif"
"adobecleansemicnit","Adobe Clean Semi Cn It","Adobe Clean Semi Cn It, system-ui, -apple-system, sans-serif"
"aeroport","Aeroport","Aeroport, system-ui, -apple-system, sans-serif"
"aeroportmono","Aeroport Mono","Aeroport Mono, system-ui, -apple-system, sans-serif"
"aireboldpro","Aire Bold Pro","Aire Bold Pro, system-ui, -apple-system, sans-serif"
"aireboldstd","Aire Bold Std","Aire Bold Std, system-ui, -apple-system, sans-serif"
"airefleunronspro","Aire Fleunrons Pro","Aire Fleunrons Pro, system-ui, -apple-system, sans-serif"
"aireromanpro","Aire Roman Pro","Aire Roman Pro, system-ui, -apple-system, sans-serif"
"aireromanstd","Aire Roman Std","Aire Roman Std, system-ui, -apple-system, sans-serif"
"akrobat","Akrobat","Akrobat, system-ui, -apple-system, sans-serif"
"akropolis","Akropolis","Akropolis, system-ui, -apple-system, sans-serif"
"aktivgrotesk","Aktiv Grotesk","Aktiv Grotesk, system-ui, -apple-system, sans-serif"
"akzentica4fbold","Akzentica 4F (Bold)","Akzentica 4F (Bold), system-ui, -apple-system, sans-serif"
"akzentica4fregular","Akzentica 4F (Regular)","Akzentica 4F (Regular), system-ui, -apple-system, sans-serif"
"akzentica4fextraboldregular","Akzentica 4F Extra Bold (Regular)","Akzentica 4F Extra Bold (Regular), system-ui, -apple-system, sans-serif"
"akzentica4flightregular","Akzentica 4F Light (Regular)","Akzentica 4F Light (Regular), system-ui, -apple-system, sans-serif"
"akzentica4fmediumregular","Akzentica 4F Medium (Regular)","Akzentica 4F Medium (Regular), system-ui, -apple-system, sans-serif"
"akzentica4fsemiboldregular","Akzentica 4F Semi Bold (Regular)","Akzentica 4F Semi Bold (Regular), system-ui, -apple-system, sans-serif"
"akzidenzgroteskprobold","Akzidenz Grotesk Pro Bold","Akzidenz Grotesk Pro Bold, system-ui, -apple-system, sans-serif"
"akzidenzgroteskproboldcnd","Akzidenz Grotesk Pro Bold Cnd","Akzidenz Grotesk Pro Bold Cnd, system-ui, -apple-system, sans-serif"
"akzidenzgroteskproboldext","Akzidenz Grotesk Pro Bold Ext","Akzidenz Grotesk Pro Bold Ext, system-ui, -apple-system, sans-serif"
"akzidenzgroteskprocnd","Akzidenz Grotesk Pro Cnd","Akzidenz Grotesk Pro Cnd, system-ui, -apple-system, sans-serif"
"akzidenzgroteskproext","Akzidenz Grotesk Pro Ext","Akzidenz Grotesk Pro Ext, system-ui, -apple-system, sans-serif"
"akzidenzgroteskproextrabold","Akzidenz Grotesk Pro Extra Bold","Akzidenz Grotesk Pro Extra Bold, system-ui, -apple-system, sans-serif"
"akzidenzgroteskprolight","Akzidenz Grotesk Pro Light","Akzidenz Grotesk Pro Light, system-ui, -apple-system, sans-serif"
"akzidenzgroteskprolightcnd","Akzidenz Grotesk Pro Light Cnd","Akzidenz Grotesk Pro Light Cnd, system-ui, -apple-system, sans-serif"
"akzidenzgroteskprolightext","Akzidenz Grotesk Pro Light Ext","Akzidenz Grotesk Pro Light Ext, system-ui, -apple-system, sans-serif"
"akzidenzgroteskpromed","Akzidenz Grotesk Pro Med","Akzidenz Grotesk Pro Med, system-ui, -apple-system, sans-serif"
"akzidenzgroteskpromedcnd","Akzidenz Grotesk Pro Med Cnd","Akzidenz Grotesk Pro Med Cnd, system-ui, -apple-system, sans-serif"
"akzidenzgroteskpromedext","Akzidenz Grotesk Pro Med Ext","Akzidenz Grotesk Pro Med Ext, system-ui, -apple-system, sans-serif"
"akzidenzgroteskproregular","Akzidenz Grotesk Pro Regular","Akzidenz Grotesk Pro Regular, system-ui, -apple-system, sans-serif"
"akzidenzgroteskprosuper","Akzidenz Grotesk Pro Super","Akzidenz Grotesk Pro Super, system-ui, -apple-system, sans-serif"
"akzidenzgroteskproxbdcnd","Akzidenz Grotesk Pro XBd Cnd","Akzidenz Grotesk Pro XBd Cnd, system-ui, -apple-system, sans-serif"
"alshauss","ALS Hauss","ALS Hauss, system-ui, -apple-system, sans-serif"
"alshaussbook","ALS Hauss Book","ALS Hauss Book, system-ui, -apple-system, sans-serif"
"alshausshairline","ALS Hauss Hairline","ALS Hauss Hairline, system-ui, -apple-system, sans-serif"
"alsschlangesansbld","ALS Schlange sans bld","ALS Schlange sans bld, system-ui, -apple-system, sans-serif"
"alsschlangesansblk","ALS Schlange sans blk","ALS Schlange sans blk, system-ui, -apple-system, sans-serif"
"alsschlangesansreg","ALS Schlange sans reg","ALS Schlange sans reg, system-ui, -apple-system, sans-serif"
"alsdeparture","ALSDeparture","ALSDeparture, system-ui, -apple-system, sans-serif"
"alsnf64","ALSNF64","ALSNF64, system-ui, -apple-system, sans-serif"
"amazinggroteskbook","Amazing Grotesk Book","Amazing Grotesk Book, system-ui, -apple-system, sans-serif"
"amazinggroteskdemi","Amazing Grotesk Demi","Amazing Grotesk Demi, system-ui, -apple-system, sans-serif"
"amazinggroteskultra","Amazing Grotesk Ultra","Amazing Grotesk Ultra, system-ui, -apple-system, sans-serif"
